,Council,TaxRate,Pay,Details,Name,Title,Population,AdjustedPay,ProportionAsPay
332,Waltham Forest,1152.21,210834,"Salary (incl fees & allowances) £173,796; Pension contribution £37,038.  Started as Chief Executive June 2010, annualised salary £180,000. ",Martin Esom,Chief Executive (Formerly Executive Director of Environment and Regeneration),224300.0,0.939964333482,0.81579254952
333,Wandsworth,377.06,227420,"Salary (incl fees & allowances) £170,414; Bonuses £18,232; Expense Allowances/Medical Insurance £2,476; Pension contribution £36,299. Retired December 20 2010, annualised £229,150.",G Jones,Chief Executive & Director of Administration,286600.0,0.793510118632,2.10446644734
334,Wandsworth,377.06,106132,"Salary (incl fees & allowances) £88,401; Expense allowances/Medical Insurance £786; Pension contribution £16,945. Started October 19 2010, annualised remuneration  £189,019.",P Martin,Chief Executive and Director of Administration,286600.0,0.370314026518,0.982109018506
335,Warrington,1158.32,198519,"Salary (incl fees & allowances) £165,866; Expenses allowances £1,239; Pension contribution £31,414",Diana Terris,Chief Executive,197800.0,1.00363498483,0.866457442532
336,Warwick,167.26,126985,"Salary (incl fees & allowances) £111,469, Pension contributions £15,516",,Chief Executive,139000.0,0.913561151079,5.46192246251
337,Warwickshire,1155.25,204100,"Salary (incl fees & allowances) £172,866; Expense allowances £5,102; Benefits in kind £1,239; Pension contributions £24,893",Jim Graham,Chief Executive,535100.0,0.381424032891,0.330165793457
338,Waverley,204.12,145120,"Salary £113,378, Expense allowance £6,540, Benefits in kind £6,587, Pension contributions £18,615",,Chief Executive,119300.0,1.21642917016,5.95938256986
339,Wealden,250.13,153673,"Salary (incl fees & allowances) £119,179; Benefits in kind £8,881; Pension contributions £25,613",,Chief Executive,143100.0,1.07388539483,4.2933090586
340,Wellingborough,148.25,39858,"Salary, fees and allowances £31,111; Expenses allowances £378; Pension Contributions £8,368. Left June 2010",,Chief Executive,75700.0,0.526525759577,3.55160714723
341,Welwyn Hatfield,231.63,135000,"Salary £107,000; Expenses £2,000; Pension contributions £26,000",Michel Saminaden,Chief Executive,112800.0,1.19680851064,5.1668976844
342,West Berkshire,1290.71,158697,"Salary (incl fees & allowances) £138,418; Pension contribution £20,279",,Chief Executive,153000.0,1.03723529412,0.803616067217
343,West Devon,240.81,110162,"Salary £95,346; Benefits £989; Pension contribution £13,827.  Left 31 December 2010. Shared with South Hams who reimburse half the cost.",,Chief Executive (Shared equally with South Hams),52700.0,2.09036053131,8.68053872891
344,West Dorset,189.71,119842,"Prior to Partnership (8 months): Salary £60,976; Benefits in kind £4,980; pension contribution £8,068. Post partnership: West Dorset DC contribution £22,909, Weymouth and Portland BC contribution £22,909. Will eventually be employed by Weymouth and Portland BC.",D Clarke,Chief Executive,96500.0,1.24188601036,6.54623377978
345,West Dunbartonshire,1163.0,141751,"Salary, Fees and Allowances £119,925; Pension Contributions £21,826",David McMillan,Chief Executive,90900.0,1.55941694169,1.34085721556
346,West Lancashire,196.86,141273,"Salary £113,367; Expenses £433; Benefits in kind £6,420; Pension contribution £21,053",,Chief Executive,110200.0,1.28196914701,6.51208547702
347,West Lindsey,236.01,127468,"Salary incl fees & allowances £103,542; Expenses allowances £1,524; Pension contribution £22,402. Started 6 April 2010",M Gill,Chief Executive,88600.0,1.43869074492,6.09588892386
349,West Lothian,1128.0,141327,"Salary fees & allowances £119,675; Pension Contributions £21,652. Became Chief Executive 1 October 2010",G Hope,Chief Executive (Formerly Depute Chief Executive),171000.0,0.826473684211,0.732689436357
350,West Lothian,1128.0,89243,"Salary fees & allowances £74,380; Pension Contributions £14,863",A Linkston,Chief Executive,171000.0,0.521888888889,0.462667454689
351,West Oxfordshire,138.03,145744,"Salary £101,691; Honorarium £15,000; Benefit in kind £4,220; Pension contribution £24,833 -  Shared 50 per cent with Cotswold Council",,Chief Executive,102500.0,1.42189268293,10.3013307464
352,West Sussex,1161.99,207693,"Salary, fees and allowances £164,905; Expense allowances £9,046; Benefits in kind £926; Pension contribution £32,816",Kieran Stigant,Chief Executive,792900.0,0.261940976163,0.225424466788
353,West Sussex,1161.99,397232,"Salary, fees and allowances £232,408; Expense allowances £1,991; Compensation for loss of employment £140,000; Pension contribution £22,834",Mark Hammond,Chief Executive,792900.0,0.500986252995,0.431145064067
354,Westminster,378.07,232604,"Salary (incl fees & allowances) £200,379; Expenses allowances £164; Pension contributions £32,061",Mike More,Chief Executive,249400.0,0.932654370489,2.46688277433
355,Wigan,1172.87,238258,"Salary £193,150; Election fees £14,977; Pension contribution £30,131",Joyce Redfearn,Chief Executive,306500.0,0.777350734095,0.662776551617
358,Winchester,188.36,117000,"Salary £94,000; Taxable expenses & benefits £4,000; Pension payments £18,000",,Chief Executive,113300.0,1.03265666372,5.48235646488
359,Wirral,1253.2,237117,"Salary £67,670; Compensation for loss of office £157,537; Pension contributions £11,910. Retired in 2010-11",,Chief Executive,308500.0,0.768612641815,0.613320014216
360,Woking,204.75,129605,"Salary incl fees & allowances £110,974; Benefits in kind £1,985; pension contributions £16,646; Includes payments for Borough and General election duties held during 2010-11",,Chief Executive,92400.0,1.40265151515,6.85055685056
361,Wokingham,1251.56,181281,"Salary incl fees & allowances £157,187; Pension contribution £24,094",Susan Law,Chief Executive,161900.0,1.11970969734,0.894651233136
362,Wolverhampton,1316.72,180615,"Salary incl fees & allowances £134,755; Expenses allowances £1,989, Employer's pension contribution £27,161; the post of Chief Executive was held by three individuals during 2009-10, including, on an acting-up basis, the Director of Regeneration and Environment.",Mr Simon Warren,Chief Executive,238500.0,0.757295597484,0.575137916553
364,Worcestershire,1039.06,216999,"Salary £183,010; Pension contribution £33,989",Mrs T Haines,Chief Executive,556500.0,0.389935309973,0.375276990716
365,Wrexham,1100.54,133736,"Salary £109,040; Other payments £48; Pension contributions £24,207",,Chief Executive,133200.0,1.00402402402,0.912301255769
366,Wycombe,165.89,162458,"Salary including fees & allowances £140,487; Benefits in kind £395; Pension contributions £21,576",K Satterford,Chief Executive,163600.0,0.993019559902,5.98601217615
367,Wyre,188.92,115497,"Salary (including fees & allowances) £72,688; Expense allowances £1,265; Pension contributions £41,544",,Chief Executive,111100.0,1.0395769577,5.50273638416
368,Wyre Forest,210.74,151798,"Salary (including fees & allowances) £114,835; Benefits in kind £2,403; Pension contribution £30,672; Returning Officer Fees £3,888. Started 9 December 2009",Mr I Miller,Chief Executive,98100.0,1.54738022426,7.34260332287
369,York,1099.61,156000,"Salary (incl fees & allowances) £132,000; Pension contributions £24,000. Started  5 October 2009, annualised salary £130,000.",,Chief Executive,198800.0,0.784708249497,0.713624148104
